FID,address,new_address,confirm,suspect,district,date,lng,lat,gaode_lon,gaode_lat,gps_lon,gps_lat
64,京华时代,京华时代,1,2,江汉区,2020/2/9,114.267364,30.630288,114.260889,30.62413,114.2554726,30.62657805
65,红旗公寓,红旗公寓,5,5,江汉区,2020/2/9,114.262426,30.629336,114.255887,30.623087,114.2504693,30.62553714
67,新华家园,新华家园,10,14,江汉区,2020/2/9,114.270377,30.631877,114.2639,30.626871,114.2584836,30.62931646
69,香缇美景,香缇美景,14,23,江汉区,2020/2/9,114.23689,30.623029,114.230359,30.616694,114.2249176,30.61914056
70,东方名都,东方名都(江发路),4,6,江汉区,2020/2/9,114.244718,30.629801,114.238339,30.623468,114.2329076,30.62591632
71,万科城,万科城(江振路),11,10,江汉区,2020/2/9,114.241644,30.632413,114.234622,30.625901,114.2291858,30.62834648
72,迎宾花园,迎宾花园(江兴路),1,1,江汉区,2020/2/9,114.243294,30.63177,114.236853,30.62543,114.2314197,30.62787683
73,金盾花园,金盾花园(江达路),2,3,江汉区,2020/2/9,114.240023,30.624515,114.233616,30.618144,114.2281791,30.6205921
76,华苑小区,华苑小区(红旗渠路),23,26,江汉区,2020/2/9,114.269332,30.633918,114.261299,30.627312,114.2558823,30.62975855
139,浩海小区,浩海小区(红旗渠路),23,21,江汉区,2020/2/10,114.264532,30.63294,114.257865,30.626711,114.2524476,30.62915909
143,日月华庭,日月华庭(马场一路),3,5,江汉区,2020/2/10,114.272304,30.61777,114.26589,30.611752,114.2604749,30.61420254
144,万达小区,万达广场小区,6,6,江汉区,2020/2/10,114.274467,30.61767,114.268005,30.611658,114.2625897,30.61410721
145,大唐新都,大唐新都,1,2,江汉区,2020/2/10,114.277064,30.617676,114.270724,30.611723,114.2653081,30.6141702
148,万科汉口传奇,万科汉口传奇,8,8,江汉区,2020/2/10,114.270071,30.630099,114.263318,30.620992,114.2579021,30.62344021
149,学林华府小区,学林华府,8,5,江汉区,2020/2/10,114.22035,30.521554,114.260451,30.622327,114.2550346,30.62477598
150,文锦苑小区,文锦苑(常青一路),1,4,江汉区,2020/2/10,114.398142,30.514321,114.257837,30.622036,114.25242,30.62448604
151,盛丰花园小区,盛丰花园小区,1,2,江汉区,2020/2/10,114.273089,30.629839,114.26656,30.623759,114.2611438,30.62620421
152,万科锦园小区,万科锦园,1,0,江汉区,2020/2/10,114.382143,30.50061,114.256126,30.621992,114.2507085,30.62444254
153,凌云小区,江汉区万松街凌云社区,6,5,江汉区,2020/2/10,114.252186,30.593469,114.246478,30.587318,114.2410578,30.58978294
155,顶绣晶城,顶_晶城2期,7,8,江汉区,2020/2/10,114.278716,30.625654,114.272499,30.620223,114.2670819,30.62266529
156,雅苑公寓,雅苑公寓(发展大道),1,2,江汉区,2020/2/10,114.400388,30.641731,114.273877,30.619988,114.2684594,30.6224292
157,汉和惠苑,汉和蕙苑,1,1,江汉区,2020/2/10,114.279196,30.628743,114.272461,30.622678,114.2670437,30.62511931
186,超级家装一号,超级家装1号,1,0,江汉区,2020/2/10,114.272367,30.623449,114.265986,30.617508,114.2605704,30.61995614
419,万松小区,万松小区(雪松路),3,5,江汉区,2020/2/13,114.274237,30.59853,114.268598,30.591808,114.2631843,30.59426464
420,万松园路,同成广场(万松园路),12,2,江汉区,2020/2/13,114.273254,30.595364,114.266002,30.593129,114.2605885,30.59558684
421,万松园正街,武广农林局宿舍,4,0,江汉区,2020/2/13,114.278095,30.596516,114.27142,30.59039,114.2660058,30.59284506
425,添翼苑,添翼苑,1,3,江汉区,2020/2/13,114.258544,30.593268,114.252617,30.587174,114.2472009,30.58963901
430,空装居乐苑,空装居乐苑,2,0,江汉区,2020/2/13,114.245658,30.594719,114.239271,30.588271,114.2338437,30.59073374
570,市环保局宿舍,市环保局宿舍,2,1,江汉区,2020/2/14,114.283617,30.610182,114.267075,30.61972,114.2616591,30.62216654
571,蓝色天际,蓝色天际(八古墩西三巷),4,6,江汉区,2020/2/14,114.275034,30.626982,114.268562,30.620915,114.2631458,30.62336005
572,顶绣国际城A区,顶_国际城,6,6,江汉区,2020/2/14,114.275965,30.62546,114.268251,30.618586,114.262835,30.62103222
575,新大陆城市花园,新大陆城市花园,4,6,江汉区,2020/2/14,114.274716,30.62565,114.268357,30.619464,114.2629409,30.62190979
577,阳光新苑,阳光新苑,7,0,江汉区,2020/2/14,114.258854,30.638733,114.251932,30.632062,114.2465116,30.63450903
578,福星华府,福星华府,14,3,江汉区,2020/2/14,114.256978,30.640883,114.250497,30.634566,114.2450756,30.63701205
579,红光小区,红光小区(新湾四路),8,2,江汉区,2020/2/14,114.254999,30.637461,114.250068,30.629611,114.2446467,30.63205916
582,盛世江城,盛世江城,6,3,江汉区,2020/2/14,114.251617,30.638742,114.246682,30.632972,114.241258,30.63541858
583,万景橘苑,万景橘苑,3,0,江汉区,2020/2/14,114.257043,30.638817,114.250576,30.632502,114.2451548,30.63494893
590,新村街道铁北社区,中铁北苑,4,15,江汉区,2020/2/14,114.314283,30.639149,114.238047,30.617157,114.2326158,30.6196078
656,和平社区,和平社区,25,20,江汉区,2020/2/14,114.36562,30.617855,114.292728,30.56866,114.2873009,30.57109882
